Participant;Level;Time Spent (s);Errors (Count);Explanation Time (Before Lvl) (s);Score;BestPercentage;FirstPercentage;Skipp/Read;Restarted
P32;Base Chart;144;4;11;475;95.0%;95.0%;Skipper;No
;Line Chart;138;2;5;1150;100 %;100 %;Skipper;No
;Area Chart;75;3;38;125;50.0%;50.0%;Reader;No
;Stacked Area;218;6;30;1350;96.4%;96.4%;Reader;No
;Misleading;279;1;42;175;87.5%;87.5%;Reader;No
P33;Base Chart;336;11;24;325;65.0%;65.0%;Reader;No
;Line Chart;205;11;22;1025;89.1%;89.1%;Reader;No
;Area Chart;62;3;2;125;50.0%;50.0%;Skipper;No
;Stacked Area;796;125;3;-2300;0 %;0 %;Skipper;No
;Misleading;100;14;30;175;87.5%;87.5%;Reader;No
P34;Base Chart;424;7;60;500;100 %;0 %;Reader;Yes
;Line Chart;248;0;0;1150;100 %;100 %;Skipper;No
;Area Chart;41;1;14;75;75 %;75 %;Skipper;No
;Stacked Area;527;12;109;0;0 %;0 %;Reader;No
;Misleading;335;25;41;75;100 %;37.5%;Reader;No
P35;Base Chart;225;7;0;350;70 %;70 %;Skipper;No
;Line Chart;436;13;46;1175;94 %;40 %;Reader;Yes
;Area Chart;44;1;44;75;75 %;75 %;Reader;No
;Stacked Area;277;9;52;1175;83.9%;83.9%;Reader;No
;Misleading;129;2;13;150;75 %;75 %;Skipper;No
P36;Base Chart;138;2;53;450;90 %;90 %;Reader;No
;Line Chart;269;5;65;1250;100 %;100 %;Reader;No
;Area Chart;27;0;60;100;100 %;100 %;Reader;No
;Stacked Area;792;8;109;1275;91 %;91 %;Reader;No
;Misleading;75;0;55;200;100 %;100 %;Reader;No
P37;Base Chart;218;3;53;450;90 %;90 %;Reader;No
;Line Chart;309;3;65;1250;100 %;100 %;Reader;No
;Area Chart;134;3;51;100;100 %;100 %;Reader;No
;Stacked Area;784;12;91;1200;85.7%;85.7%;Reader;No
;Misleading;169;4;75;125;62.5%;62.5%;Reader;No
P38;Base Chart;361;13;57;400;80 %;80 %;Reader;No
;Line Chart;216;7;67;1150;92 %;92 %;Reader;No
;Area Chart;100;3;90;100;100 %;100 %;Reader;No
;Stacked Area;323;7;91;1350;96.4%;96.4%;Reader;No
;Misleading;72;0;59;200;100 %;100 %;Reader;No
P39;Base Chart;133;2;151;475;95 %;95 %;Reader;No
;Line Chart;187;3;62;1275;100 %;100 %;Reader;No
;Area Chart;33;0;89;100;100 %;100 %;Reader;No
;Stacked Area;141;1;;1400;100 %;100 %;Skipper;No
;Misleading;43;0;43;200;100 %;100 %;Reader;No
P40;Base Chart;133;2;151;475;95 %;95 %;Reader;No
;Line Chart;187;3;62;1275;100 %;100 %;Reader;Yes
;Area Chart;33;0;89;100;100 %;100 %;Reader;No
;Stacked Area;141;1;67;1400;100 %;100 %;Reader;No
;Misleading;43;0;43;200;100 %;100 %;Reader;No
P41;Base Chart;168;2;39;450;90 %;90 %;Reader;No
;Line Chart;388;7;52;1150;92 %;92 %;Reader;No
;Area Chart;102;1;77;100;100 %;100 %;Reader;No
;Stacked Area;216;2;65;1400;100 %;100 %;Reader;No
;Misleading;51;0;53;200;100 %;100 %;Reader;No
P42;Base Chart;274;5;39;425;85 %;85 %;Reader;No
;Line Chart;101;1;52;1150;100 %;100 %;Reader;No
;Area Chart;165;3;53;100;100 %;100 %;Reader;No
;Stacked Area;338;17;65;1325;94.6%;72 %;Reader;Yes
;Misleading;98;2;52;200;100 %;0 %;Reader;Yes
P43;Base Chart;274;5;39;425;85 %;85 %;Reader;No
;Line Chart;101;1;52;1150;100 %;100 %;Reader;No
;Area Chart;165;3;53;100;100 %;100 %;Reader;No
;Stacked Area;338;17;65;1325;94.6%;94.6%;Reader;No
;Misleading;98;2;52;200;100 %;100 %;Reader;No
P44;Base Chart;168;2;39;450;90 %;90 %;Reader;No
;Line Chart;388;7;52;1150;92 %;92 %;Reader;No
;Area Chart;102;1;77;100;100 %;100 %;Reader;No
;Stacked Area;216;2;65;1400;100 %;100 %;Reader;No
;Misleading;51;0;53;200;100 %;100 %;Reader;No
P45;Base Chart;168;1;47;500;100 %;100 %;Reader;No
;Line Chart;182;3;53;1250;100 %;100 %;Reader;No
;Area Chart;200;5;58;250;100 %;81 %;Reader;Yes
;Stacked Area;193;3;92;1325;94.6%;94.6%;Reader;No
;Misleading;43;0;70;200;100 %;100 %;Reader;No
P46;Base Chart;97;0;48;500;90 %;90 %;Reader;No
;Line Chart;193;0;57;1150;100 %;100 %;Reader;No
;Area Chart;179;6;61;250;100 %;100 %;Reader;No
;Stacked Area;197;3;86;1325;94.6%;54 %;Reader;Yes
;Misleading;129;6;56;150;75 %;75 %;Reader;No
P47;Base Chart;156;4;49;450;90 %;90.0;Reader;No
;Line Chart;98;1;37;1075;93.5%;93.5%;Reader;No
;Area Chart;177;7;34;100;100 %;78 %;Reader;Yes
;Stacked Area;264;14;43;1050;75 %;75 %;Reader;No
;Misleading;160;0;58;200;100 %;100 %;Reader;No
P49;Base Chart;223;4;;400;80 %;80 %;Skipper;No
;Line Chart;253;3;;1200;96 %;96 %;Skipper;No
;Area Chart;84;1;;200;80 %;80 %;Skipper;No
;Stacked Area;259;6;;1125;80 %;80 %;Skipper;No
;Misleading;207;7;;175;87.5%;87.5%;Skipper;No
P50;Base Chart;144;1;;500;100 %;0 %;Skipper;Yes
;Line Chart;114;2;;1150;100 %;78 %;Skipper;Yes
;Area Chart;64;5;;100;100 %;68 %;Skipper;Yes
;Stacked Area;137;3;;1400;100 %;93 %;Skipper;Yes
;Misleading;90;2;;200;100 %;75 %;Skipper;Yes
P51;Base Chart;93;1;;475;95 %;95 %;Skipper;No
;Line Chart;187;10;;1075;93 %;80 %;Skipper;Yes
;Area Chart;36;0;;250;100 %;100 %;Skipper;No
;Stacked Area;205;11;;1350;96 %;96 %;Skipper;No
;Misleading;160;7;;200;100 %;50 %;Skipper;Yes
P52;Base Chart;148;1;;500;100 %;100 %;Skipper;No
;Line Chart;220;7;;1175;90 %;90 %;Skipper;No
;Area Chart;36;0;;100;100 %;100 %;Skipper;No
;Stacked Area;246;3;;1250;89 %;89 %;Skipper;No
;Misleading;69;0;;200;100 %;100 %;Skipper;No
P53;Base Chart;161;3;52;500;100 %;0 %;Reader;Yes
;Line Chart;95;1;15;1150;100 %;0 %;Reader;Yes
;Area Chart;134;3;16;100;90 %;90 %;Reader;No
;Stacked Area;266;4;16;1400;100 %;100 %;Reader;No
;Misleading;93;1;12;200;100 %;100 %;Skipper;Yes
P54;Base Chart;100;2;42;500;100 %;100 %;Reader;No
;Line Chart;117;3;46;1075;93 %;93 %;Reader;No
;Area Chart;67;2;45;100;100 %;50 %;Reader;No
;Stacked Area;235;10;90;1325;95 %;95 %;Reader;No
;Misleading;88;0;63;200;100 %;100 %;Reader;No
P55;Base Chart;278;8;61;350;100 %;70 %;Reader;Yes
;Line Chart;126;2;57;1125;98 %;98 %;Reader;No
;Area Chart;57;0;70;250;100 %;100 %;Reader;No
;Stacked Area;164;0;101;1400;100 %;100 %;Reader;No
;Misleading;68;1;74;175;100 %;87.5%;Reader;Yes
P56;Base Chart;93;0;34;500;100 %;100 %;Reader;No
;Line Chart;129;0;132;1300;100 %;100 %;Reader;No
;Area Chart;28;0;14;100;100 %;100 %;Skipper;No
;Stacked Area;196;2;30;1375;98 %;98 %;Reader;No
;Misleading;149;3;7;200;100 %;50 %;Skipper;Yes
P57;Base Chart;182;6;50;500;100 %;100 %;Reader;No
;Line Chart;161;2;2;1050;91 %;91 %;Skipper;No
;Area Chart;138;2;0;225;90 %;90 %;Skipper;No
;Stacked Area;358;29;22;1225;87 %;87 %;Reader;No
;Misleading;147;3;0;150;75 %;75 %;Skipper;No
P58;Base Chart;267;6;0;500;100 %;100 %;Skipper;No
;Line Chart;478;15;52;1075;93 %;50 %;Reader;Yes
;Area Chart;17;0;63;100;100 %;100 %;Reader;No
;Stacked Area;373;12;87;1325;94 %;56 %;Reader;Yes
;Misleading;168;0;56;200;100 %;100 %;Reader;No
P59;Base Chart;130;4;35;450;90 %;90 %;Reader;No
;Line Chart;166;0;60;1150;100 %;100 %;Reader;No
;Area Chart;65;0;63;100;100 %;50 %;Reader;Yes
;Stacked Area;397;10;90;1225;87.5%;87.5%;Reader;No
;Misleading;123;2;55;150;75 %;75 %;Reader;No
P60;Base Chart;118;0;0;500;95 %;95 %;Skipper;No
;Line Chart;122;0;0;1300;100 %;80 %;Skipper;Yes
;Area Chart;27;0;0;100;100 %;100 %;Skipper;No
;Stacked Area;32;2;0;0;90 %;90 %;Reader;No
;Misleading;110;0;0;200;100 %;100 %;Reader;No
P61;Base Chart;185;0;44;500;100 %;100 %;Reader;No
;Line Chart;152;3;55;1150;100 %;100 %;Reader;No
;Area Chart;188;6;65;100;100 %;100 %;Reader;No
;Stacked Area;327;14;76;1175;95 %;84 %;Reader;No
;Misleading;100;0;55;200;100 %;100 %;Skipper;No
P62;Base Chart;143;2;50;475;95 %;95 %;Skipper;No
;Line Chart;440;20;4;0;80 %;45 %;Reader;Yes
;Area Chart;191;1;4;1150;100 %;100 %;Reader;No
;Stacked Area;417;26;55;1200;85 %;85 %;Reader;No
;Misleading;204;14;63;-25;0 %;0 %;Reader;No
P63;Base Chart;151;3;47;450;90 %;90 %;Reader;No
;Line Chart;289;11;37;1075;86 %;86 %;Reader;No
